"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\Ivanthedevtiktok.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\Ivanthedevx.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\lottie-files\blogging-animation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\lottie-files\instagram-animation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\lottie-files\linkedin-animation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\lottie-files\threads-animation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\lottie-files\tiktok-animation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\lotties\lottie-files\x-animation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\main.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\src\projects.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\ADMIN\OneDrive\Desktop\Ivan Portfolio\ivan-portfolio\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 4818, 602, 26, 839, 1, 57, 16, 87, 322, 6768
